"A" "B" "C" "D"
"1" 5697.85 4274.63 3443.46 2188.63
"2" 3305.24 5190.9 1012.56 1459.63
"3" 4643.24 4712.98 2565.48 3872.68
"4" 5750.45 5946.04 5638.32 1726.71
"5" 5683.33 6264.91 1489.46 2802.22
"6" 5580.22 5227.63 7341.81 5017.99
"7" 3785.73 2404 6973.51 1745.32
"8" 5753.49 3799.05 5423.69 3930.44
"9" 5454.27 4888.95 5522.81 1585.31
"10" 4831.95 5264.79 2070.78 2828.08
"11" 5992.85 5991.72 2598.85 3442.62
"12" 2625.72 4223.75 5878.27 2528.66
"13" 3611.53 4018.36 6960.85 2538.68
"14" 3929.14 5218.47 5688.94 1572.98
"15" 5887.87 5262.02 1383.81 2888.63
"16" 6693.07 3512.16 2474.53 3198.19
"17" 4120.56 3681.25 6034.32 2632.47
"18" 3866.11 7051.47 5162.81 1159.52
"19" 5226.02 3591.99 7151.35 2503.86
"20" 5091.45 2694.5 6981.21 2863.05
"21" 5431.53 5106.31 4844.73 2648.71
"22" 3345.88 3134.14 5333.1 1593.79
"23" 5431.44 4391.3 5413.11 2655.82
"24" 6808.1 4551.15 6375.72 2168.9
"25" 5500.9 4367.84 4785.75 3488.91
"26" 5242.11 4435.59 2164.62 2881.52
"27" 6307.88 3929.97 1527.75 3294.8
"28" 3769.24 6250.74 2803.51 2050.08
"29" 1662.04 2709.79 5712.23 3373.34
"30" 3614.46 3468.19 3330.19 1486.48
"31" 6084.57 4236.69 4026.32 1809.73
"32" 3274.33 5236.9 5089.81 3462.55
"33" 4631.18 5304.25 7016.26 2547.47
"34" 2841.48 2372.54 5018.32 2583.53
"35" 4847.01 5590.01 2796.95 2924.47
"36" 3353.66 4235.88 2653.87 2162.13
"37" 3908.37 3025.03 5179.1 5270.98
"38" 6624.24 5199.79 7476.82 4300.68
"39" 5261.01 3445.6 3165.64 1620.27
"40" 4491.76 3145.37 4895.4 3895.06
"41" 4629.26 5014.74 3217.77 5448.61
"42" 6213.86 5146.44 1426.31 2611.68
"43" 5988.35 4363.3 4898.1 2283.48
"44" 5490.37 4364.83 6432.56 4162.32
"45" 4547.98 4578.48 6113.56 1369.62
"46" 5301.14 4001.9 2585.68 4270.31
"47" 5656.23 2686.52 2326.88 3101.94
"48" 5017.39 4174.47 3424.55 3257.87
"49" 6224.09 5716.42 5655.7 1331
"50" 6361.44 3609.38 3647.08 2702.19
"51" 6278.58 4704.5 1913.3 4117.04
"52" 4394.89 6755.14 3952.54 2351.47
"53" 4094.39 4868.7 6433.24 2141.87
"54" 6198.9 4827.78 1389.18 3422.68
"55" 6414.45 6046.9 4782.61 3835.89
"56" 4795.15 4317.14 4063.12 3348.06
"57" 5534.95 4730.47 5193.96 1570.23
"58" 1866.3 6294.79 2920.36 2868.58
"59" 3840.2 5452.75 6432.85 1467.81
"60" 4345.85 4955.68 6367.47 4025.86
"61" 5741.37 4013.83 1477.28 3702.19
"62" 6620.18 4548.75 4723.37 2638.3
"63" 2787.07 6274.47 1243.2 2425.66
"64" 5264.59 5569.89 4580.36 2319.6
"65" 5762.87 7018.15 3112.37 1731.29
"66" 4927.49 3453.55 5308.6 4386.78
"67" 4916.46 5102.22 3044.62 2738.77
"68" 2737.94 4830.39 2776.03 3577.93
"69" 2784.92 4422.28 2500.54 3531.73
"70" 3679.22 4467.64 1587.75 2430.02
"71" 4325.66 5287.68 2488.12 2098.66
"72" 3890.1 3937.39 3163.39 2808.39
"73" 4895.14 4069.45 6651.39 4430.81
"74" 5839.46 3307.7 1804.96 3935.5
"75" 3974.78 4287.56 6844.93 2480.62
"76" 4439.97 2209.7 6523.11 1975.65
"77" 2784.87 4254.76 5391.26 3233.79
"78" 4187.13 4422.7 2413.41 2116.77
"79" 5802.04 4060.62 7386.04 2080.01
"80" 5986.89 3457.89 4320.44 3852.65
"81" 4870.45 2049.37 7194.81 4457.88
"82" 4003.64 4107.7 6821.8 5252.73
"83" 3387.45 4188.23 6773.03 2180.96
"84" 3133.79 5604.39 5812.77 1887.92
"85" 4367.98 5186.55 1414.97 6337.36
"86" 3078.38 4653.77 1618.12 2478.71
"87" 2973.48 3350.19 3800.88 2225.2
"88" 2665.92 4300.26 2357 2575.56
"89" 6224.69 5110.45 6138.89 3227.13
"90" 5338.23 4424.87 5641.59 2943.4
"91" 5694.06 4747.77 6119.18 4571.79
"92" 2489.28 5553.74 4432.2 1697.65
"93" 5519.54 5798.41 2871.13 1444.57
"94" 6691.8 3460.64 6025.82 3273.33
"95" 3060.45 1883.98 6810.12 3338.96
"96" 5638.22 1182.75 1198.56 1867.94
"97" 3820.03 2712.61 4607.73 3375
"98" 5905.81 3674.27 3312.7 4878.26
"99" 5138.32 4983.08 2912.55 2517.75
"100" 4847.7 4896.96 3068.79 3396.64
"101" 5221.58 4779.81 1582.11 2645.57
"102" 3483.74 5315.47 5333.76 8176.17
"103" 4815.99 3719.11 6104.94 3498.68
"104" 3294.79 1963.71 5087.56 6075.85
"105" 4672.94 2762.02 1130.91 4623.33
"106" 3193.96 5021.96 6592.02 3244.77
"107" 4493.92 6805.35 5776.23 3828.82
"108" 5703.69 5203.82 1144.16 3947.7
"109" 4478.44 5885 3982.58 4572.8
"110" 2849.85 5518.58 1331.58 3516.27
"111" 5330.94 4838.07 6836.89 4894.32
"112" 5318.87 4010.35 6432.07 2597.22
"113" 6687.16 4168.8 2793.91 2610.69
"114" 4013.93 4534.24 6727.91 2881.58
"115" 3458.55 5096.84 5989.09 2624.4
"116" 5116.7 3687.2 1116.06 2277.02
"117" 5125.2 2946.41 2353.25 2864.14
"118" 4992.23 3459.82 2669.85 3208.96
"119" 4436.86 4673.88 2392.31 2815.82
"120" 6016.5 4349.13 3420.63 3837.7
"121" 5403.55 7042.21 4344.09 3256.3
"122" 4123.9 4971 1351.55 3661.99
"123" 2590.95 2453.58 6711.66 1973.82
"124" 6220.86 5844.4 2248.06 4737.97
"125" 2735.67 4899.02 3488.95 2925.8
"126" 5139.41 5596.17 1113.99 2060.93
"127" 3048.62 4395.14 1366.46 3617.93
"128" 4076.56 2934.31 1327.1 4098.85
"129" 3892.16 4460.4 6872.57 3402.18
"130" 5097.89 4204.1 3649.38 2196.57
"131" 2632.57 2510.58 6398.28 2891.62
"132" 2878.92 4062.35 2457.15 3427.84
"133" 5592.31 4162.41 6543.63 2430.94
"134" 4918.08 4704 4741.37 5226.02
"135" 3203.98 4069.89 2589.86 2488.94
"136" 4582.37 4764.8 3409.1 2133.69
"137" 4067.52 4702.56 4640.58 5303.84
"138" 3711.18 4521.88 6327.07 1678.44
"139" 5532.4 4571.88 3579.26 2386.3
"140" 5226.07 4281.99 4337.17 2392.03
"141" 5103.29 5002.51 1134.61 4348.65
"142" 6459.68 2421.64 6065.66 1961.39
"143" 5902.61 4261.41 2652.58 1400.42
"144" 4384.87 4467.38 5631.09 4523.32
"145" 4941.45 4210.69 5754.57 2844.45
"146" 4186.25 2518.37 7264.12 5440.12
"147" 4271.01 5551.31 1096.49 3928.73
"148" 4965.32 3715.63 5005.58 2754.35
"149" 5409.75 4525.26 3062.19 3673.39
"150" 3034.6 4020.89 3216.32 3474.98
"151" 5267.32 5196.71 3918.55 1578.84
"152" 5674.25 3490.12 2316.9 1485.76
"153" 5325.93 4754.71 5288.75 5503.92
"154" 4793.34 3752.09 3914.36 2900.35
"155" 4930.06 3607.94 3461.07 2733.33
"156" 2582.56 3527.04 6412.12 3540.77
"157" 4950.51 2000.1 1595.68 2684.2
"158" 3545.43 6541.51 7381.06 2861.98
"159" 6698.33 3720.72 1600.28 6202.85
"160" 5323.69 6091.65 3082.66 4359.64
"161" 6233.02 4458.82 5983.53 6246.21
"162" 3825.16 2181.25 3396.03 3586.36
"163" 6026.41 4619.25 2564.34 4069.21
"164" 5658 1151.16 4284.54 2437.75
"165" 5985.92 5272.59 1805.17 5104.82
"166" 6649.44 3505.85 1377.09 5972.88
"167" 3988.1 3225.77 6373.46 4879.93
"168" 3393.45 4087.53 2385.26 4322.77
"169" 6163.16 5646.89 3331.95 3760.44
"170" 3856.83 3924.09 4297.74 1733.8
"171" 2427.77 7034.8 1790.92 1284.19
"172" 5932.22 1376.5 2207.98 1608.77
"173" 4699.78 6365.09 4247.97 2430.81
"174" 4821.95 3499.59 4033.32 1396.89
"175" 5368.6 2302.25 6969.5 4056.72
"176" 6300.98 1195.13 7326.92 5316.44
"177" 5129.04 4702.73 1262.58 4276.8
"178" 2705 6597.88 5088.51 3330.68
"179" 2140.46 4270.44 7285.99 2337.15
"180" 5349.56 4123.56 6086.47 6175.77
"181" 4921.8 6755.25 2563.64 2169.6
"182" 4765.88 4763.28 3220.56 2065.35
"183" 6449.86 4603.1 6941.58 2217.21
"184" 3244.04 5628.98 2735.72 3477.72
"185" 5768.09 6389.04 3612.2 4457.27
"186" 1160.46 3411.84 1761.92 3322.77
"187" 5150.79 5498.3 1223.12 2322.64
"188" 3690.68 7321.05 1558.94 3835.09
"189" 5163.74 3455.71 1968.02 2629.16
"190" 6527.13 3155.87 5082.58 2968.75
"191" 4559.66 4525.07 2054 3014.74
"192" 2986.05 5621.65 4925.51 2502.58
"193" 6241.05 4574.68 4514.69 4134.72
"194" 3854.47 3200.47 4239.26 3783.23
"195" 5205.93 3416.13 6556.06 1765.2
"196" 5287.42 4803.91 1140.12 8866.08
"197" 4018.32 4440.03 2859.58 3250.96
